[19:01:28] [INFO] received Windows console close event; shutting log-core down
[19:20:52] [INFO] received Windows console close event; shutting log-core down
[19:22:04] [INFO] received Windows console close event; shutting log-core down
[19:25:37] [INFO] received Windows console close event; shutting log-core down
[20:11:12] [INFO] received Windows console close event; shutting log-core down
[21:12:16] [INFO] received Windows console close event; shutting log-core down
[21:16:43] [INFO] received Windows console close event; shutting log-core down
[21:28:41] [INFO] received Windows console close event; shutting log-core down
[21:34:27] [INFO] received Windows console close event; shutting log-core down
[21:41:49] [INFO] received Windows console close event; shutting log-core down
[21:57:46] [INFO] received Windows console close event; shutting log-core down
[15:07:16] [INFO] received Windows console close event; shutting log-core down
[15:11:03] [INFO] received Windows console close event; shutting log-core down
[15:46:06] [INFO] received Windows console close event; shutting log-core down
[15:48:30] [INFO] received Windows console close event; shutting log-core down
[15:53:55] [INFO] received Windows console close event; shutting log-core down
[16:10:48] [INFO] received Windows console close event; shutting log-core down
[16:32:13] [INFO] received Windows console close event; shutting log-core down
[19:24:12] [INFO] received Windows console close event; shutting log-core down
[19:29:36] [INFO] received Windows console close event; shutting log-core down
[19:32:28] [INFO] received Windows console close event; shutting log-core down
[19:35:24] [INFO] received Windows console close event; shutting log-core down
[19:37:19] [INFO] received Windows console close event; shutting log-core down
[20:00:50] [INFO] received Windows console close event; shutting log-core down
[13:38:14] [INFO] received Windows console close event; shutting log-core down
[16:15:06] [INFO] received Windows console close event; shutting log-core down
[16:17:35] [INFO] received Windows console close event; shutting log-core down
[17:12:24] [INFO] received Windows console close event; shutting log-core down
[17:16:20] [INFO] received Windows console close event; shutting log-core down
[19:15:33] [INFO] received Windows console close event; shutting log-core down
[19:24:56] [INFO] received Windows console close event; shutting log-core down
[17:12:39] [INFO] received Windows console close event; shutting log-core down
[17:13:23] [INFO] received Windows console close event; shutting log-core down
[17:15:43] [INFO] received Windows console close event; shutting log-core down
[17:18:02] [INFO] received Windows console close event; shutting log-core down
[17:48:14] [INFO] received Windows console close event; shutting log-core down
[18:17:08] [INFO] received Windows console close event; shutting log-core down
[19:13:10] [INFO] received Windows console close event; shutting log-core down
[19:55:01] [INFO] received Windows console close event; shutting log-core down
[20:01:11] [INFO] received Windows console close event; shutting log-core down
[20:06:14] [INFO] received Windows console close event; shutting log-core down
[20:15:58] [INFO] received Windows console close event; shutting log-core down
[20:38:55] [INFO] received Windows console close event; shutting log-core down
[20:44:31] [INFO] received Windows console close event; shutting log-core down
[20:50:20] [INFO] received Windows console close event; shutting log-core down
[15:01:04] [INFO] received Windows console close event; shutting log-core down
[15:06:33] [INFO] received Windows console close event; shutting log-core down
[15:12:21] [INFO] received Windows console close event; shutting log-core down
[15:21:25] [INFO] received Windows console close event; shutting log-core down
[15:33:11] [INFO] received Windows console close event; shutting log-core down
[15:33:13] [INFO] received Windows console close event; shutting log-core down
[15:36:23] [INFO] received Windows console close event; shutting log-core down
[15:40:48] [INFO] received Windows console close event; shutting log-core down
[15:42:56] [INFO] received Windows console close event; shutting log-core down
[19:37:40] [INFO] received Windows console close event; shutting log-core down
[14:12:30] [INFO] received Windows console close event; shutting log-core down
[14:12:31] [INFO] received Windows console close event; shutting log-core down
[14:23:01] [INFO] received Windows console close event; shutting log-core down
[14:26:45] [INFO] received Windows console close event; shutting log-core down
